"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"us-quality-core-adverseevent","AdverseEvent.actuality","AdverseEvent.actuality","","","",1,1,"","Y","Y","code {[]} {[]}
","actual | potential","Whether the event actually happened, or just had the potential to. Note that this is independent of whether anyone was affected or harmed or how severely.","","","","","","","","","",,"required","Overall nature of the adverse event, e.g. real or potential.","http://hl7.org/fhir/ValueSet/adverse-event-actuality|4.0.1","",,,,"AdverseEvent.actuality",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.category","AdverseEvent.category","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","(USCDI+ Quality) product-problem | product-quality | product-use-error | wrong-dose | incorrect-prescribing-information | wrong-technique | wrong-route-of-administration | wrong-rate | wrong-duration | wrong-time | expired-drug | medical-device-use-error | problem-different-manufacturer | unsafe-physical-environment","The overall type of event, intended for search and filtering purposes.","","","","","","","","","",,"extensible","Overall categorization of the event, e.g. product-related or situational.","http://hl7.org/fhir/ValueSet/adverse-event-category|4.0.1","",,,,"AdverseEvent.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.event","AdverseEvent.event","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","(USCDI+ Quality) Type of the event itself in relation to the subject","This element defines the specific type of event that occurred or that was prevented from occurring.","","","","","","","","","",,"preferred","Detailed type of event.","http://hl7.org/fhir/ValueSet/adverse-event-type","",,,,"AdverseEvent.event",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.subject","AdverseEvent.subject","","patient
","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-practitioner], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-relatedperson]]}
","Subject impacted by event","This subject or group impacted by the event.","If AdverseEvent.resultingCondition differs among members of the group, then use Patient as the subject.","Allows for exposure of biohazard (such as legionella) to a group of individuals in a hospital.","","","","","","","",,,,,"",,,,"AdverseEvent.subject",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.encounter","AdverseEvent.encounter","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-encounter]]}
","Encounter created as part of","The Encounter during which AdverseEvent was created or to which the creation of this record is tightly associated.","This will typically be the encounter the event occurred within, but some activities may be initiated prior to or after the official completion of an encounter but still be tied to the context of the encounter.  For example, if a medication administration was considered an adverse event because it resulted in a rash, then the encounter when the medication administration was given is the context.  If the patient reports the AdverseEvent during a second encounter, that second encounter is not the context.","","","","","","","","",,,,,"",,,,"AdverseEvent.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.date","AdverseEvent.date","","","",0,1,"","","Y","dateTime {[]} {[]}
","(USCDI+ Quality)","The date (and perhaps time) when the adverse event occurred.","","","","","","","","","",,,,,"",,,,"AdverseEvent.date",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.detected","AdverseEvent.detected","","","",0,1,"","","Y","dateTime {[]} {[]}
","(USCDI+ Quality) When the event was detected","Estimated or actual date the AdverseEvent began, in the opinion of the reporter.","","","","","","","","","",,,,,"",,,,"AdverseEvent.detected",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.recordedDate","AdverseEvent.recordedDate","","","",0,1,"","","Y","dateTime {[]} {[]}
","(USCDI+ Quality) When the event was recorded","The date on which the existence of the AdverseEvent was first recorded.","The recordedDate represents the date when this particular AdverseEvent record was created in the system, not the date of the most recent update.  The date of the last record modification can be retrieved from the resource metadata.","","","","","","","","",,,,,"",,,,"AdverseEvent.recordedDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.resultingCondition","AdverseEvent.resultingCondition","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-condition-encounter-diagnosis]]}
","Effect on the subject due to this event","Includes information about the reaction that occurred as a result of exposure to a substance (for example, a drug or a chemical).","","","","","","","","","",,,,,"",,,,"AdverseEvent.resultingCondition",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.location","AdverseEvent.location","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-location]]}
","Location where adverse event occurred","The information about where the adverse event occurred.","","","","","","","","","",,,,,"",,,,"AdverseEvent.location",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.seriousness","AdverseEvent.seriousness","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Seriousness of the event","Assessment whether this event was of real importance.","","","","","","","","","",,"example","Overall seriousness of this event for the patient.","http://hl7.org/fhir/ValueSet/adverse-event-seriousness|4.0.1","",,,,"AdverseEvent.seriousness",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.severity","AdverseEvent.severity","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","mild | moderate | severe","Describes the severity of the adverse event, in relation to the subject. Contrast to AdverseEvent.seriousness - a severe rash might not be serious, but a mild heart problem is.","","","","","","","","","",,"required","The severity of the adverse event itself, in direct relation to the subject.","http://hl7.org/fhir/ValueSet/adverse-event-severity|4.0.1","",,,,"AdverseEvent.severity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.outcome","AdverseEvent.outcome","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","resolved | recovering | ongoing | resolvedWithSequelae | fatal | unknown","Describes the type of outcome from the adverse event.","","","","","","","","","",,"required","TODO (and should this be required?).","http://hl7.org/fhir/ValueSet/adverse-event-outcome|4.0.1","",,,,"AdverseEvent.outcome",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.recorder","AdverseEvent.recorder","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-patient], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-relatedperson], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-practitioner], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-practitionerrole]]}
","Who recorded the adverse event","Information on who recorded the adverse event.  May be the patient or a practitioner.","","","","","","","","","",,,,,"",,,,"AdverseEvent.recorder",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.contributor","AdverseEvent.contributor","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-practitioner], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-practitionerrole], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-device], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-implantable-device|6.1.0]]}
","Who  was involved in the adverse event or the potential adverse event","Parties that may or should contribute or have contributed information to the adverse event, which can consist of one or more activities.  Such information includes information leading to the decision to perform the activity and how to perform the activity (e.g. consultant), information that the activity itself seeks to reveal (e.g. informant of clinical history), or information about what activity was performed (e.g. informant witness).","","","","","","","","","",,,,,"",,,,"AdverseEvent.contributor",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity","AdverseEvent.suspectEntity","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","The suspected agent causing the adverse event","Describes the entity that is suspected to have caused the adverse event.","","","","","","","","","",,,,,"",,,,"AdverseEvent.suspectEntity",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.id","AdverseEvent.suspectEntity.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.extension","AdverseEvent.suspectEntity.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.modifierExtension","AdverseEvent.suspectEntity.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.instance","AdverseEvent.suspectEntity.instance","","Substance or Medication or Device
","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-immunization], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-procedure], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-substance], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-medication], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-medicationadministration], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-medicationstatement], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-device], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-implantable-device|6.1.0]]}
","(USCDI+ Quality) Refers to the specific entity that caused the adverse event","Identifies the actual instance of what caused the adverse event.  May be a substance, medication, medication administration, medication statement or a device.","","","","","","","","","",,,,,"",,,,"AdverseEvent.suspectEntity.instance",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.causality","AdverseEvent.suspectEntity.causality","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","Information on the possible cause of the event","Information on the possible cause of the event.","","","","","","","","","",,,,,"",,,,"AdverseEvent.suspectEntity.causality",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.causality.id","AdverseEvent.suspectEntity.causality.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.causality.extension","AdverseEvent.suspectEntity.causality.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.causality.modifierExtension","AdverseEvent.suspectEntity.causality.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.causality.assessment","AdverseEvent.suspectEntity.causality.assessment","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Assessment of if the entity caused the event","Assessment of if the entity caused the event.","","","","","","","","","",,"example","Codes for the assessment of whether the entity caused the event.","http://hl7.org/fhir/ValueSet/adverse-event-causality-assess|4.0.1","",,,,"AdverseEvent.suspectEntity.causality.assessment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.causality.productRelatedness","AdverseEvent.suspectEntity.causality.productRelatedness","","","",0,1,"","","Y","string {[]} {[]}
","AdverseEvent.suspectEntity.causalityProductRelatedness","AdverseEvent.suspectEntity.causalityProductRelatedness.","","","","","","","","","",,,,,"",,,,"AdverseEvent.suspectEntity.causality.productRelatedness",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.causality.author","AdverseEvent.suspectEntity.causality.author","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|4.0.1]]}
","AdverseEvent.suspectEntity.causalityAuthor","AdverseEvent.suspectEntity.causalityAuthor.","","","","","","","","","",,,,,"",,,,"AdverseEvent.suspectEntity.causality.author",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.suspectEntity.causality.method","AdverseEvent.suspectEntity.causality.method","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","ProbabilityScale | Bayesian | Checklist","ProbabilityScale | Bayesian | Checklist.","","","","","","","","","",,"example","TODO.","http://hl7.org/fhir/ValueSet/adverse-event-causality-method|4.0.1","",,,,"AdverseEvent.suspectEntity.causality.method",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.subjectMedicalHistory","AdverseEvent.subjectMedicalHistory","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-simple-observation], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-allergyintolerance], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-familymemberhistory], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-immunization], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-procedure], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns], CanonicalType[http://fhir.org/guides/onc/us-quality-core/StructureDefinition/us-quality-core-condition-encounter-diagnosis]]}
","AdverseEvent.subjectMedicalHistory","AdverseEvent.subjectMedicalHistory.","","","","","","","","","",,,,,"",,,,"AdverseEvent.subjectMedicalHistory",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.referenceDocument","AdverseEvent.referenceDocument","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference|4.0.1]]}
","AdverseEvent.referenceDocument","AdverseEvent.referenceDocument.","","","","","","","","","",,,,,"",,,,"AdverseEvent.referenceDocument",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"us-quality-core-adverseevent","AdverseEvent.study","AdverseEvent.study","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ResearchStudy|4.0.1]]}
","AdverseEvent.study","AdverseEvent.study.","","","","","","","","","",,,,,"",,,,"AdverseEvent.study",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
